PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7259575, -117.1746092, 60, 351, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:00 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7259575, -117.1746092, 60, 351, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:00 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7259575, -117.1746092, 60, 351, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:00 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7259575, -117.1746092, 60, 351, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:00 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7260753, -117.175799, 60, 266, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7260917, -117.1762535, 60, 282, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7260917, -117.1762535, 60, 282, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7260917, -117.1762535, 60, 282, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:29 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.726172, -117.1776642, 60, 275, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.726172, -117.1776642, 60, 275, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.726172, -117.1776642, 60, 275, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7261853, -117.1780538, 60, 273, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7261853, -117.1780538, 60, 273, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7261853, -117.1780538, 60, 273, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7261853, -117.1780538, 60, 273, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7261853, -117.1780538, 60, 273, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:20:58 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7262408, -117.1797083, 60, 274, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7262408, -117.1797083, 60, 274, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7262408, -117.1797083, 60, 274, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7262408, -117.1797083, 60, 274, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7263327, -117.1815588, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.726341, -117.182079, 60, 271, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:56 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.726341, -117.182079, 60, 271, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:21:56 PM')]);
